qp,job,qp_NSQF,qp_sector,similarity
Design Marker - Stonecraft,Hotel front desk clerk,3.5,Handicrafts and Carpet,0.3570494055747986
Chef de Partie,Automotive technician,5.0,Tourism & Hospitality,0.3570319414138794
Automotive Machining Lead Technician,Hotel front desk clerk,4.5,Automotive,0.35698771476745605
Automotive Machining Assistant,Hotel front desk clerk,2.0,Automotive,0.35693055391311646
Mechanic: Hydraulic & Pneumatic System,Hotel front desk clerk,4.0,Iron and Steel,0.35685449838638306
Jute Products Stitching Operator,Automotive technician,3.0,Handicrafts and Carpet,0.3568008542060852
Carpet Weaver,Automotive technician,3.0,Handicrafts and Carpet,0.3567659854888916
Fish and Sea food  Processor,Hotel front desk clerk,2.0,Food Processing,0.3567517399787903
Naturalist (wildlife tourism),Automotive technician,4.5,Tourism & Hospitality,0.3567425608634949
Lacquerer (Paper Mache),Electrician,3.0,Handicrafts and Carpet,0.35672426223754883
Electric Vehicle Product Design Engineer,Hotel front desk clerk,4.5,Automotive,0.35666000843048096
Automotive Machinist,Forklift operator,3.0,Automotive,0.35665974020957947
Automotive Tool Room Technician,Hotel front desk clerk,3.5,Automotive,0.35643935203552246
Sketching and painting artisan (Ceramics),Automotive technician,3.5,Handicrafts and Carpet,0.35629260540008545
Supervisor-Food Processing Industries,Electrician,5.0,Food Processing,0.3561702370643616
Automotive Assembly Assistant,Hotel front desk clerk,2.0,Automotive,0.35615450143814087
Junior Technician-Rooftop Rainwater Harvesting,Mechanical fitter,3.0,Green Jobs,0.35612180829048157
Food Sales Promoter,Hotel front desk clerk,3.0,Food Processing,0.35608524084091187
Paint Line Operator (Paper Mache),Electrician,2.5,Handicrafts and Carpet,0.35602477192878723
Automotive Maintenance Technician- Electrical,Hotel front desk clerk,4.0,Automotive,0.3560006022453308
GHG Accounting and Sustainability Reporting,Mechanical fitter,6.0,Green Jobs,0.3559892177581787
Introduction to Electric Vehicle,Mechanical fitter,4.0,Automotive,0.3559892177581787
Traditional Sweet and Savoury Product Maker,Hotel front desk clerk,3.0,Food Processing,0.35596829652786255
Traditional Wooden Toy Maker,Solar PV installer,2.5,Handicrafts and Carpet,0.3559439182281494
Water Technology,Automotive technician,4.5,Green Jobs,0.35587435960769653
Bamboo Work Artisan,Automotive technician,3.0,Handicrafts and Carpet,0.3558395504951477
Automotive Quality Control Lead Inspector,Hotel front desk clerk,4.5,Automotive,0.3557451069355011
Forklift Operator/Driver,Hotel front desk clerk,3.0,Automotive,0.35574230551719666
Production Manager,Automotive technician,7.0,Food Processing,0.3557291328907013
Gas Tungsten Arc Welding (GTAW),Hotel front desk clerk,4.0,Iron and Steel,0.3556879162788391
Assistant Electronic Mechanic,Hotel front desk clerk,3.0,Iron and Steel,0.35568585991859436
Electric Vehicle Test Engineer,Hotel front desk clerk,4.5,Automotive,0.35564374923706055
Front Office Manager,Welder and fitter,7.0,Tourism & Hospitality,0.3556181490421295
Advanced Program on Traditional Hand Embroidery,Car sales advisor,4.0,Handicrafts and Carpet,0.35557952523231506
Assistant Rigger - Heavy Material,Hotel front desk clerk,3.0,Iron and Steel,0.355579137802124
Jute Yarn Hank Dyer,Hotel front desk clerk,2.5,Handicrafts and Carpet,0.3555784523487091
Advanced Program on Traditional Hand Embroidery,Truck driver,4.0,Handicrafts and Carpet,0.3555707633495331
Automotive Additive Manufacturing Operator,Hotel front desk clerk,3.0,Automotive,0.3555208444595337
Assistant-Opencast Mines,Hotel front desk clerk,2.0,Mining,0.35546576976776123
Supervisor - Control Room (Steel Melting Shop),Hotel front desk clerk,5.0,Iron and Steel,0.35543182492256165
Food Packer,Hotel front desk clerk,2.0,Food Processing,0.3554268777370453
Auto Rickshaw Driver,Hotel front desk clerk,4.0,Automotive,0.3554113507270813
Carpet Quality Checker,Automotive technician,4.0,Handicrafts and Carpet,0.35535141825675964
Moonjh Craft Maker,Automotive technician,2.5,Handicrafts and Carpet,0.3553386926651001
Handcrafted Candle Maker,Electrician,3.0,Handicrafts and Carpet,0.3552703261375427
Engraving/ Carving/ Etching Assistant (Wooden Handicrafts),Hotel front desk clerk,3.0,Handicrafts and Carpet,0.35526907444000244
Wastewater Treatment Plant Helper,Truck driver,3.0,Green Jobs,0.35520780086517334
Food Delivery Associate,Electrician,3.0,Tourism & Hospitality,0.3552039861679077
Advanced Program on Hand Block Printing,Electrician,4.0,Handicrafts and Carpet,0.35515761375427246
Combing Operator,Hotel front desk clerk,3.0,Textile,0.35514840483665466
Automotive Production Equipment Design Engineer,Hotel front desk clerk,5.0,Automotive,0.3551223576068878
Loom Supervisor  Knotted Carpet,Automotive technician,3.5,Handicrafts and Carpet,0.3550986647605896
Automotive Assembler,Forklift operator,4.0,Automotive,0.3550458550453186
Operator - Heating regulator,Hotel front desk clerk,4.0,Iron and Steel,0.3550361394882202
Food Delivery Professional,Automotive technician,3.0,Tourism & Hospitality,0.3549450635910034
Solar PV Manufacturing Technician,Truck driver,4.0,Green Jobs,0.3549383878707886
Plastic Recycling Micro Entrepreneur,Solar PV installer,4.0,Green Jobs,0.35492900013923645
Engraving/ Carving/ Etching Assistant (Wooden Handicrafts),Automotive technician,3.0,Handicrafts and Carpet,0.3547934293746948
Handcrafted Candle Maker,Mechanical fitter,3.0,Handicrafts and Carpet,0.3547414541244507
Solar PV Designer,Truck driver,7.0,Green Jobs,0.35465237498283386
Automotive Prototype Manufacturing Lead Technician,Hotel front desk clerk,4.5,Automotive,0.35446369647979736
Handcrafted Candle Maker,Solar technician,3.0,Handicrafts and Carpet,0.3544055223464966
Fitter - Post Spinning,Hotel front desk clerk,4.0,Textile,0.3543349504470825
Introduction to Electric Vehicle,Welder and fitter,4.0,Automotive,0.3542006015777588
GHG Accounting and Sustainability Reporting,Welder and fitter,6.0,Green Jobs,0.3542006015777588
"Jam, Jelly and Ketchup Processing Technician",Electrician,3.0,Food Processing,0.35418248176574707
Speed Frame Operator - Tenter and Doffer,Hotel front desk clerk,3.0,Textile,0.35417255759239197
Improved Cookstove Installer,Truck driver,4.0,Green Jobs,0.35412049293518066
Assistant Electrician- Food manufacturing facility,Hotel front desk clerk,3.0,Food Processing,0.35409390926361084
Welder - (GTAW),Hotel front desk clerk,4.0,Iron and Steel,0.35402098298072815
Solar Cold Storage Entrepreneur,Truck driver,4.0,Green Jobs,0.35398679971694946
Traditional Soft Toy Maker,Forklift operator,2.5,Handicrafts and Carpet,0.3539809584617615
Abrasion & Grinding Machine Operator,Electrician,3.0,Handicrafts and Carpet,0.35391777753829956
Merchandiser,Automotive technician,4.0,Handicrafts and Carpet,0.35390323400497437
House Keeping with Mechanised Equipments,Car sales advisor,2.0,Iron and Steel,0.3538937568664551
Wooden Toy Maker - Artisan,Car sales advisor,4.0,Handicrafts and Carpet,0.3538702130317688
Process Operator Rolling Mills,Hotel front desk clerk,5.0,Iron and Steel,0.35383498668670654
Loader  Operator (Mining),Automotive technician,4.0,Mining,0.353828489780426
Abrasion & Grinding Machine Operator,Hotel front desk clerk,3.0,Handicrafts and Carpet,0.3537604510784149
Automotive Heat Treatment Technician,Hotel front desk clerk,4.0,Automotive,0.3537593483924866
Housekeeping Attendant,Automotive technician,3.0,Tourism & Hospitality,0.35351383686065674
Automotive Machinist,Solar PV installer,3.0,Automotive,0.35347089171409607
Coir Fibre Artisan,Automotive technician,2.5,Handicrafts and Carpet,0.35340774059295654
Property Manager (FM),Automotive technician,7.0,Tourism & Hospitality,0.3533676266670227
Knitting Machine Operator Warp Knitting,Hotel front desk clerk,3.0,Textile,0.353363037109375
Jute Selector cum Assorter,Hotel front desk clerk,2.0,Textile,0.353363037109375
Sizing Machine Operator,Hotel front desk clerk,3.0,Textile,0.353363037109375
Ikkat Artisan,Hotel front desk clerk,2.0,Textile,0.353363037109375
Ginning Helper,Hotel front desk clerk,1.0,Textile,0.353363037109375
Tape Winder,Hotel front desk clerk,3.0,Textile,0.353363037109375
Twister cum Doubler - Handloom,Hotel front desk clerk,2.0,Textile,0.353363037109375
Kalamkari Artisan,Hotel front desk clerk,2.0,Textile,0.353363037109375
Fabric Checker - Textiles,Hotel front desk clerk,3.0,Textile,0.353363037109375
Fabric Mender - Textiles,Hotel front desk clerk,3.0,Textile,0.353363037109375
Knitting Machine Operator Flat Bed Knitting,Hotel front desk clerk,3.0,Textile,0.353363037109375
Jute Weft Winding Operator,Hotel front desk clerk,2.0,Textile,0.353363037109375
Fitter Helper - Weaving,Hotel front desk clerk,2.0,Textile,0.353363037109375
Hand Spinning Operator,Hotel front desk clerk,3.0,Textile,0.353363037109375
Assistant Ginning Fitter,Hotel front desk clerk,2.0,Textile,0.353363037109375
Assistant Cotton Grader (Ginning),Hotel front desk clerk,2.0,Textile,0.353363037109375
Ring Frame Tenter,Hotel front desk clerk,3.0,Textile,0.353363037109375
Jacquard Harness Builder,Hotel front desk clerk,2.0,Textile,0.353363037109375
Card Puncher (Automatic Machine),Hotel front desk clerk,3.0,Textile,0.353363037109375
Jute spinning Sardar (Jobber) cum Jr. Supervisor,Hotel front desk clerk,4.0,Textile,0.353363037109375
Jute Carding Operator,Hotel front desk clerk,2.0,Textile,0.353363037109375
Jute Beaming Operator,Hotel front desk clerk,2.0,Textile,0.353363037109375
Tape Plant Operator,Hotel front desk clerk,3.0,Textile,0.353363037109375
Circular loom operator (Shuttle type),Hotel front desk clerk,3.0,Textile,0.353363037109375
Knotting Machine Operator,Hotel front desk clerk,3.0,Textile,0.353363037109375
Size Mixer,Hotel front desk clerk,3.0,Textile,0.353363037109375
Cone Winding Operator - Manual & Assembly Winding,Hotel front desk clerk,3.0,Textile,0.353363037109375
Combing Preparatory Operator,Hotel front desk clerk,3.0,Textile,0.353363037109375
Pirn Winding Machine Operator,Hotel front desk clerk,3.0,Textile,0.353363037109375
Ring Frame Doffer,Hotel front desk clerk,3.0,Textile,0.353363037109375
Hand Knitting Machine Operator,Hotel front desk clerk,2.0,Textile,0.353363037109375
Blowroom Operator,Hotel front desk clerk,3.0,Textile,0.353363037109375
Fitter - Shuttleless Weaving Machine: Projectile,Hotel front desk clerk,4.0,Textile,0.353363037109375
Fitter  Weaving Preparatory,Hotel front desk clerk,4.0,Textile,0.353363037109375
Willow Craft Artisan,Automotive technician,2.5,Handicrafts and Carpet,0.3533487319946289
Automotive Maintenance Technician-Mechanical,Hotel front desk clerk,4.0,Automotive,0.35328036546707153
Junior Technician- Solar EV charging station,Forklift operator,3.0,Green Jobs,0.3532721698284149
Plastic Recycling Operator,Welder and fitter,3.0,Green Jobs,0.35324203968048096
Hotel Reception (WorldSkills),Electrician,4.5,Tourism & Hospitality,0.3532077670097351
Duty Manager,Automotive technician,5.0,Tourism & Hospitality,0.353198379278183
Refrigeration Technician - Food Processing Facility,Hotel front desk clerk,4.0,Food Processing,0.353130042552948
Green Hydrogen Plant Junior Technician- Storage,Automotive technician,3.0,Green Jobs,0.3531283438205719
Junior Technician-Rooftop Rainwater Harvesting,Forklift operator,3.0,Green Jobs,0.35312196612358093
Quality Assurance Manager,Hotel front desk clerk,6.0,Food Processing,0.3530823588371277
Jute Products Artisan,Hotel front desk clerk,3.5,Handicrafts and Carpet,0.35300835967063904
Waste Picker,Welder and fitter,3.0,Green Jobs,0.3529090881347656
Introduction to Electric Vehicle,Car sales advisor,4.0,Automotive,0.35288071632385254
GHG Accounting and Sustainability Reporting,Car sales advisor,6.0,Green Jobs,0.35288071632385254
Multi Skill Technician- Fruits & Vegetables,Electrician,3.0,Food Processing,0.3528708517551422
Mobile Equipment Operator,Hotel front desk clerk,3.0,Iron and Steel,0.3527967035770416
Counter Sales Executive (Tourism and Hospitality),Automotive technician,4.0,Tourism & Hospitality,0.3527594804763794
Automotive Body Painting Assistant,Hotel front desk clerk,2.0,Automotive,0.3527083396911621
Jacquard Weaver - Handloom,Hotel front desk clerk,3.0,Textile,0.3526966869831085
House Keeping with Mechanised Equipments,Hotel front desk clerk,2.0,Iron and Steel,0.35259705781936646
Glass Toy Maker - Artisan,Hotel front desk clerk,4.0,Handicrafts and Carpet,0.352560818195343
Automotive Assembly Lead Technician,Hotel front desk clerk,4.5,Automotive,0.3525516390800476
Automotive Material Testing Incharge,Hotel front desk clerk,5.0,Automotive,0.35251641273498535
Animal Waste Manure Aggregator,Welder and fitter,3.0,Green Jobs,0.3524259626865387
Automotive Assembly Master Technician,Hotel front desk clerk,5.0,Automotive,0.3523964285850525
Supervisor- Operations and Maintenance  (Compressed Biogas/Waste to Energy),Hotel front desk clerk,5.0,Green Jobs,0.35237210988998413
Automotive Packing Assistant,Hotel front desk clerk,2.0,Automotive,0.3523487448692322
Animal Waste Manure Aggregator,Car sales advisor,3.0,Green Jobs,0.35232454538345337
Fitter Electronic Assembly,Hotel front desk clerk,3.0,Iron and Steel,0.3521946668624878
Executive Chef,Electrician,6.0,Tourism & Hospitality,0.35213643312454224
Floor Supervisor (Ceramics),Automotive technician,4.0,Handicrafts and Carpet,0.3520849943161011
Potter (Kumhar) including traditional ceramics and terracotta product maker,Truck driver,2.5,Handicrafts and Carpet,0.35206565260887146
Decorative Painter - Glassware,Car sales advisor,3.5,Handicrafts and Carpet,0.35205405950546265
Spice Processing Technician,Hotel front desk clerk,3.0,Food Processing,0.35197189450263977
Battery Operator,Hotel front desk clerk,5.0,Iron and Steel,0.3519434332847595
Baking Technician/Operative,Automotive technician,3.0,Food Processing,0.35191529989242554
Internal Food Auditor-Food Processing,Electrician,6.0,Food Processing,0.35189175605773926
Solar Photovoltaic Technician,Forklift operator,4.0,Green Jobs,0.3518712520599365
Locomotive Driver,Hotel front desk clerk,4.0,Iron and Steel,0.3518591821193695
Lacquerer (Paper Mache),Automotive technician,3.0,Handicrafts and Carpet,0.35185128450393677
Effluent Treatment Plant Operator - Food Processing Facility,Hotel front desk clerk,3.0,Food Processing,0.3517976403236389
Conveyor Operation & Maintenance,Hotel front desk clerk,3.0,Iron and Steel,0.3517546057701111
Fitter Instrumentation,Hotel front desk clerk,3.0,Iron and Steel,0.35175207257270813
Traditional Mat Weaver,Car sales advisor,2.5,Handicrafts and Carpet,0.3517330288887024
Solar PV Structural Assistant Design Engineer,Car sales advisor,5.0,Green Jobs,0.3517051041126251
Restaurant Service (WorldSkills),Electrician,4.5,Tourism & Hospitality,0.35170143842697144
Automotive Conventional Machining Technician,Hotel front desk clerk,4.0,Automotive,0.35168129205703735
Ceramics Preparation Artisan,Automotive technician,2.5,Handicrafts and Carpet,0.35164874792099
Plastic Recycling Operator,Solar technician,3.0,Green Jobs,0.351613312959671
Sewer Entry Professional,Forklift operator,3.0,Green Jobs,0.3515133857727051
Rigger: Rigging of Heavy Material,Car sales advisor,3.0,Iron and Steel,0.351434588432312
Hotel Reception (WorldSkills),Welder and fitter,4.5,Tourism & Hospitality,0.3513312041759491
Recyclable Waste Collector & Segregator,Mechanical fitter,4.0,Green Jobs,0.35129058361053467
Solar PV Engineer (Option: Solar Water Pumping System),Truck driver,5.0,Green Jobs,0.3512265086174011
Lab assistant (Ceramics),Hotel front desk clerk,3.5,Handicrafts and Carpet,0.35120368003845215
Wire Saw  Operator,Car sales advisor,4.0,Mining,0.35111063718795776
Junior Technician- Solar EV charging station,Automotive technician,3.0,Green Jobs,0.35109367966651917
Hotel Reception (WorldSkills),Automotive technician,4.5,Tourism & Hospitality,0.35102957487106323
Junior Technician- Solar Cold Storage,Truck driver,3.0,Green Jobs,0.3509434461593628
Sketching and painting artisan (Ceramics),Hotel front desk clerk,3.5,Handicrafts and Carpet,0.350866436958313
Knotting Machine Operator,Welder and fitter,3.0,Textile,0.35077187418937683
Pirn Winding Machine Operator,Welder and fitter,3.0,Textile,0.35077187418937683
Fitter - Shuttleless Weaving Machine: Projectile,Welder and fitter,4.0,Textile,0.35077187418937683
Twister cum Doubler - Handloom,Welder and fitter,2.0,Textile,0.35077187418937683
Cone Winding Operator - Manual & Assembly Winding,Welder and fitter,3.0,Textile,0.35077187418937683
Assistant Cotton Grader (Ginning),Welder and fitter,2.0,Textile,0.35077187418937683
Circular loom operator (Shuttle type),Welder and fitter,3.0,Textile,0.35077187418937683
Hand Knitting Machine Operator,Welder and fitter,2.0,Textile,0.35077187418937683
Hand Spinning Operator,Welder and fitter,3.0,Textile,0.35077187418937683
Fabric Checker - Textiles,Welder and fitter,3.0,Textile,0.35077187418937683
Ring Frame Doffer,Welder and fitter,3.0,Textile,0.35077187418937683
Ring Frame Tenter,Welder and fitter,3.0,Textile,0.35077187418937683
Combing Preparatory Operator,Welder and fitter,3.0,Textile,0.35077187418937683
Jute spinning Sardar (Jobber) cum Jr. Supervisor,Welder and fitter,4.0,Textile,0.35077187418937683
Size Mixer,Welder and fitter,3.0,Textile,0.35077187418937683
Fitter Helper - Weaving,Welder and fitter,2.0,Textile,0.35077187418937683
Assistant Ginning Fitter,Welder and fitter,2.0,Textile,0.35077187418937683
Jute Selector cum Assorter,Welder and fitter,2.0,Textile,0.35077187418937683
Blowroom Operator,Welder and fitter,3.0,Textile,0.35077187418937683
Jute Weft Winding Operator,Welder and fitter,2.0,Textile,0.35077187418937683
Ginning Helper,Welder and fitter,1.0,Textile,0.35077187418937683
Card Puncher (Automatic Machine),Welder and fitter,3.0,Textile,0.35077187418937683
Fitter  Weaving Preparatory,Welder and fitter,4.0,Textile,0.35077187418937683
Ikkat Artisan,Welder and fitter,2.0,Textile,0.35077187418937683
Jacquard Harness Builder,Welder and fitter,2.0,Textile,0.35077187418937683
Kalamkari Artisan,Welder and fitter,2.0,Textile,0.35077187418937683
Tape Winder,Welder and fitter,3.0,Textile,0.35077187418937683
Sizing Machine Operator,Welder and fitter,3.0,Textile,0.35077187418937683
Tape Plant Operator,Welder and fitter,3.0,Textile,0.35077187418937683
Jute Carding Operator,Welder and fitter,2.0,Textile,0.35077187418937683
Jute Beaming Operator,Welder and fitter,2.0,Textile,0.35077187418937683
Knitting Machine Operator Warp Knitting,Welder and fitter,3.0,Textile,0.35077187418937683
Fabric Mender - Textiles,Welder and fitter,3.0,Textile,0.35077187418937683
Knitting Machine Operator Flat Bed Knitting,Welder and fitter,3.0,Textile,0.35077187418937683
Ground Crew Chief (Paragliding),Automotive technician,4.0,Tourism & Hospitality,0.35068053007125854
Quality Assurance Manager,Electrician,6.0,Food Processing,0.35066455602645874
Jr Operator- Automotive Quality Control,Hotel front desk clerk,3.0,Automotive,0.3506559729576111
Welding,Automotive technician,4.5,Automotive,0.35051828622817993
Laundry Associate,Electrician,4.0,Tourism & Hospitality,0.3504544794559479
Solar PV Designer,Forklift operator,7.0,Green Jobs,0.3502662181854248
Assistant Designer & Shade Writer (Carpets),Automotive technician,4.0,Handicrafts and Carpet,0.35022813081741333
Handloom Entrepreneur,Hotel front desk clerk,5.0,Textile,0.3501310646533966
Automotive Open System (AUTOSAR) Engineer,Hotel front desk clerk,6.0,Automotive,0.3499479293823242
Junior Technician-Rooftop Rainwater Harvesting,Truck driver,3.0,Green Jobs,0.3499230742454529
Automotive Machining Aide,Forklift operator,2.0,Automotive,0.34991952776908875
Fitter Electrical Assembly,Hotel front desk clerk,3.0,Iron and Steel,0.3498617112636566
Plant Manager,Hotel front desk clerk,9.0,Food Processing,0.34986168146133423
Driving Assistant,Hotel front desk clerk,1.0,Automotive,0.34985727071762085
Modeller (Ceramics),Electrician,3.5,Handicrafts and Carpet,0.3497798442840576
Construction Technician-Wind Power Plant,Automotive technician,4.0,Green Jobs,0.349736750125885
Sous Chef,Electrician,5.5,Tourism & Hospitality,0.3497138023376465
Wastewater Treatment Plant Helper,Mechanical fitter,3.0,Green Jobs,0.3496178090572357
Billing Executive,Electrician,4.0,Tourism & Hospitality,0.34940582513809204
Bakery (WorldSkills),Electrician,4.5,Tourism & Hospitality,0.34939056634902954
Warper - Handloom,Hotel front desk clerk,3.0,Textile,0.34933093190193176
Banquet Manager (Operation),Welder and fitter,7.0,Tourism & Hospitality,0.3493300974369049
Assistant Glass Toy Maker - Artisan,Hotel front desk clerk,2.5,Handicrafts and Carpet,0.3491660952568054
"Fitter : Levelling, Alignment & Balancing",Hotel front desk clerk,3.0,Iron and Steel,0.3491542935371399
Food Analyst,Electrician,4.0,Food Processing,0.3491118550300598
Bakery (WorldSkills),Hotel front desk clerk,4.5,Tourism & Hospitality,0.3491100072860718
Solar PV Project Manager (E&C),Hotel front desk clerk,7.0,Green Jobs,0.34910809993743896
Travel Advisor,Automotive technician,4.0,Tourism & Hospitality,0.3490447402000427
Wind Resource Assessor and Site Surveyor - Wind Power Plant,Forklift operator,5.0,Green Jobs,0.3490143418312073
Bakery (WorldSkills),Truck driver,4.5,Tourism & Hospitality,0.3489995300769806
Iron & Steel  Utility Hand Plant Operations,Hotel front desk clerk,1.0,Iron and Steel,0.34899070858955383
Bearing Maintenance,Hotel front desk clerk,3.0,Iron and Steel,0.3489770293235779
Parasailing (Equipment) Supervisor,Electrician,6.0,Tourism & Hospitality,0.348965585231781
Automotive Product Design Lead Engineer,Hotel front desk clerk,6.0,Automotive,0.3489350974559784
Assistant Leather Toy Maker - Artisan,Electrician,2.5,Handicrafts and Carpet,0.34891629219055176
Mine Shotfirer/Blaster,Hotel front desk clerk,4.0,Mining,0.34884268045425415
Embossing Artisan (Metalware),Automotive technician,2.5,Handicrafts and Carpet,0.3488401770591736
Solar Manufacturing Junior Technician,Forklift operator,3.0,Green Jobs,0.3488345742225647
Assistant Glass Toy Maker - Artisan,Automotive technician,2.5,Handicrafts and Carpet,0.34873849153518677
Solar Manufacturing Junior Technician,Car sales advisor,3.0,Green Jobs,0.34872007369995117
Designer (Woodware Products),Hotel front desk clerk,3.0,Handicrafts and Carpet,0.34867653250694275
Automotive Quality Control Inspector,Solar PV installer,3.0,Automotive,0.3486369252204895
Automotive Automation and Robotics Engineer,Hotel front desk clerk,5.0,Automotive,0.34860071539878845
Operator - Fluid Controls,Hotel front desk clerk,4.0,Iron and Steel,0.3484502136707306
Hank Dyer,Electrician,3.0,Textile,0.34835681319236755
Glass Toy Maker - Artisan,Automotive technician,4.0,Handicrafts and Carpet,0.34835416078567505
Refractory Brick Layer,Hotel front desk clerk,3.0,Iron and Steel,0.34833043813705444
Shuttleless Loom Operator,Hotel front desk clerk,3.0,Textile,0.34832826256752014
Solar PV Installer - Electrical,Automotive technician,4.0,Green Jobs,0.34820041060447693
Safety Supervisor - Steel Plant,Hotel front desk clerk,5.0,Iron and Steel,0.34813904762268066
Sakhta Saaz (Paper Pulp),Automotive technician,2.5,Handicrafts and Carpet,0.3481154441833496
Glass Toy Maker - Artisan,Electrician,4.0,Handicrafts and Carpet,0.3480045199394226
Seasoning and Chemical Treatment Assistant (Woodware),Car sales advisor,2.5,Handicrafts and Carpet,0.34797412157058716
Jute Products Stitching Operator,Hotel front desk clerk,3.0,Handicrafts and Carpet,0.3479713201522827
Demi Chef De Partie,Electrician,4.5,Tourism & Hospitality,0.34793078899383545
Finished Package Checker-cum-Packer  - Spinning,Car sales advisor,3.0,Textile,0.34789738059043884
Assistant Mechanic - Conveyor Operation and Maintenance,Hotel front desk clerk,3.0,Iron and Steel,0.34789058566093445
Project Assistant Planner - Wind Power Plant,Automotive technician,3.0,Green Jobs,0.34775978326797485
Automotive Quality Control Inspector,Welder and fitter,3.0,Automotive,0.3477381765842438
Grain Mill Operator,Automotive technician,3.0,Food Processing,0.3477140963077545
Plastic Recycling Micro Entrepreneur,Welder and fitter,4.0,Green Jobs,0.347683310508728
Clean Cookstove Sales and Maintenance Executive,Hotel front desk clerk,4.0,Green Jobs,0.34767499566078186
Iron & Steel- Plasma Cutter: Manual,Hotel front desk clerk,4.0,Iron and Steel,0.3476315438747406
Automotive Assembler,Solar PV installer,4.0,Automotive,0.3476030230522156
Kolhapuri Chappal Maker,Hotel front desk clerk,3.5,Handicrafts and Carpet,0.3475686311721802
Artisanal Fruit Wine Maker,Hotel front desk clerk,5.0,Food Processing,0.3475673794746399
EOT Overhead Crane Operator,Hotel front desk clerk,3.0,Iron and Steel,0.34752872586250305
Food Packaging Developer,Hotel front desk clerk,5.0,Food Processing,0.34735721349716187
Electrolyzer Manufacturing Plant Technician,Automotive technician,4.0,Green Jobs,0.3473530411720276
Traditional Mat Weaver,Electrician,2.5,Handicrafts and Carpet,0.3473409414291382
Assistant - Electrician,Hotel front desk clerk,3.0,Iron and Steel,0.34730064868927
Mountain Cuisine Chef,Electrician,5.0,Tourism & Hospitality,0.34728479385375977
Tour Manager,Welder and fitter,6.0,Tourism & Hospitality,0.34727683663368225
TFO Tenter,Hotel front desk clerk,3.0,Textile,0.3472433090209961
Assistant Electrician- Food manufacturing facility,Automotive technician,3.0,Food Processing,0.3472399413585663
Food Safety Team Leader,Hotel front desk clerk,5.0,Food Processing,0.3471836447715759
Stone Preparation Artisan,Automotive technician,2.5,Handicrafts and Carpet,0.34713101387023926
Rigger: Rigging of Heavy Material,Hotel front desk clerk,3.0,Iron and Steel,0.3470593988895416
Upcycling Scraps and E-waste Artisan,Car sales advisor,4.0,Handicrafts and Carpet,0.3469741940498352
Assistant Ceramics and Terracotta Toy Maker,Truck driver,2.5,Handicrafts and Carpet,0.34695345163345337
Carding Operator,Hotel front desk clerk,3.0,Textile,0.34682878851890564
Convenience Food Maker-Ready To Eat and Instant Food,Hotel front desk clerk,4.0,Food Processing,0.3467913866043091
Junior Technician - Mechanized Sewer Cleaning,Forklift operator,3.0,Green Jobs,0.3466987609863281
Automotive Assembler,Hotel front desk clerk,4.0,Automotive,0.34652069211006165
Traditional Wooden Toy Maker,Solar technician,2.5,Handicrafts and Carpet,0.3464306592941284
Walk Tour Facilitator,Welder and fitter,4.0,Tourism & Hospitality,0.34637317061424255
Inlay Artisan - Stonecraft,Hotel front desk clerk,4.0,Handicrafts and Carpet,0.34628069400787354
Solar PV Installer (Suryamitra),Automotive technician,4.0,Green Jobs,0.346266508102417
Multi Skill Technician (Food Processing),Hotel front desk clerk,4.0,Food Processing,0.34612512588500977
Ceramics and Terracotta Toy Maker - Artisan,Car sales advisor,4.0,Handicrafts and Carpet,0.3461107611656189
Automotive Press Shop Assistant,Hotel front desk clerk,2.0,Automotive,0.34607356786727905
Compressor  Operator,Hotel front desk clerk,4.0,Mining,0.34604138135910034
Assistant Ceramics and Terracotta Toy Maker,Car sales advisor,2.5,Handicrafts and Carpet,0.34602081775665283
Iron & Steel- Machinist,Hotel front desk clerk,3.0,Iron and Steel,0.34593623876571655
Automotive Additive Manufacturing Technician,Hotel front desk clerk,3.5,Automotive,0.34574708342552185
Metal Fabricator - Iron and Steel,Hotel front desk clerk,4.0,Iron and Steel,0.3457334637641907
Electric Vehicle Quality Control Inspector,Hotel front desk clerk,3.5,Automotive,0.34569090604782104
Store Assistant-Food Manufacturing Facility,Automotive technician,3.0,Food Processing,0.34565624594688416
Crochet Lace Tailor,Automotive technician,3.0,Handicrafts and Carpet,0.3455989360809326
Solar PV Project Helper,Truck driver,2.0,Green Jobs,0.3455885946750641
Paper Mache Art Promoter (Paper Mache),Automotive technician,4.5,Handicrafts and Carpet,0.3455291986465454
Basic sculptor and stone artist (Moortikar),Truck driver,2.5,Handicrafts and Carpet,0.34551987051963806
Renewable Energy,Car sales advisor,4.5,Green Jobs,0.34549447894096375
Solar PV Engineer (Option: Solar Water Pumping System),Forklift operator,5.0,Green Jobs,0.3454907536506653
Green Logistics Practices,Hotel front desk clerk,4.0,Green Jobs,0.3454670011997223
Mine Roof Bolter,Hotel front desk clerk,4.0,Mining,0.34545278549194336
Electrolyzer Manufacturing Plant Technician,Hotel front desk clerk,4.0,Green Jobs,0.3454192280769348
Mine Shotfirer/Blaster,Automotive technician,4.0,Mining,0.3453291654586792
Paper Mache Art Designer,Automotive technician,3.0,Handicrafts and Carpet,0.3453269600868225
Rafting Guide/Safety Kayaker,Electrician,5.0,Tourism & Hospitality,0.3452575206756592
